代码,日期,EMA12,EMA26,EMA差值12-26,EMA差值12-26(%),EMA排列,排列评分
159869,2024-08-05,0.748608,0.759235,-0.010627,-1.3997,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-08-02,0.747627,0.759654,-0.012027,-1.5832,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-08-01,0.747378,0.760506,-0.013128,-1.7262,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-07-31,0.744719,0.760387,-0.015668,-2.0605,价格强于EMA12但EMA12弱于EMA26,0.0
159869,2024-07-30,0.740304,0.759698,-0.019394,-2.5529,强势空头排列,-1.1
159869,2024-07-29,0.740905,0.761514,-0.020609,-2.7063,中等空头排列,-0.7
159869,2024-07-26,0.741251,0.763315,-0.022064,-2.8905,强势空头排列,-1.1
159869,2024-07-25,0.742388,0.76558,-0.023192,-3.0293,强势空头排列,-1.33
159869,2024-07-24,0.746095,0.769066,-0.022971,-2.9869,强势空头排列,-1.33
159869,2024-07-23,0.752112,0.773552,-0.02144,-2.7716,强势空头排列,-1.33
159869,2024-07-22,0.756133,0.777036,-0.020903,-2.6901,震荡排列,0.0
159869,2024-07-19,0.756338,0.778799,-0.022461,-2.8841,强势空头排列,-1.1
159869,2024-07-18,0.757127,0.780942,-0.023815,-3.0495,强势空头排列,-1.21
159869,2024-07-17,0.758787,0.783578,-0.024791,-3.1638,强势空头排列,-1.21
159869,2024-07-16,0.760021,0.786104,-0.026083,-3.318,强势空头排列,-1.21
159869,2024-07-15,0.76257,0.789312,-0.026742,-3.388,强势空头排列,-1.33
159869,2024-07-12,0.766674,0.793257,-0.026583,-3.3511,强势空头排列,-1.21
159869,2024-07-11,0.769342,0.796558,-0.027216,-3.4167,强势空头排列,-1.21
159869,2024-07-10,0.770495,0.799243,-0.028748,-3.5969,强势空头排列,-1.33
159869,2024-07-09,0.775312,0.803662,-0.02835,-3.5276,强势空头排列,-1.33
159869,2024-07-08,0.779914,0.807955,-0.028041,-3.4706,强势空头排列,-1.33
159869,2024-07-05,0.787171,0.813391,-0.02622,-3.2235,强势空头排列,-1.33
159869,2024-07-04,0.790475,0.816943,-0.026468,-3.2399,强势空头排列,-1.33
159869,2024-07-03,0.79547,0.821258,-0.025788,-3.1401,强势空头排列,-1.21
159869,2024-07-02,0.797556,0.824239,-0.026683,-3.2373,强势空头排列,-1.21
159869,2024-07-01,0.799293,0.827138,-0.027845,-3.3664,强势空头排列,-1.21
159869,2024-06-28,0.801892,0.830509,-0.028617,-3.4457,强势空头排列,-1.33
159869,2024-06-27,0.805327,0.83431,-0.028983,-3.4739,强势空头排列,-1.33
159869,2024-06-26,0.809023,0.838254,-0.029231,-3.4871,强势空头排列,-1.21
159869,2024-06-25,0.810118,0.841075,-0.030957,-3.6806,强势空头排列,-1.33
159869,2024-06-24,0.820139,0.847961,-0.027822,-3.281,强势空头排列,-1.33
159869,2024-06-21,0.830165,0.854598,-0.024433,-2.859,强势空头排列,-1.33
159869,2024-06-20,0.836376,0.859285,-0.022909,-2.6661,强势空头排列,-1.33
159869,2024-06-19,0.84299,0.864028,-0.021038,-2.4349,强势空头排列,-1.33
159869,2024-06-18,0.846807,0.867391,-0.020584,-2.3731,强势空头排列,-1.1
159869,2024-06-17,0.848772,0.869902,-0.02113,-2.429,强势空头排列,-1.21
159869,2024-06-14,0.851639,0.872854,-0.021215,-2.4305,中等空头排列,-0.7
159869,2024-06-13,0.852301,0.874842,-0.022541,-2.5766,强势空头排列,-1.1
159869,2024-06-12,0.853265,0.87707,-0.023805,-2.7142,强势空头排列,-1.1
159869,2024-06-11,0.853858,0.879235,-0.025377,-2.8863,强势空头排列,-1.33
159869,2024-06-07,0.857287,0.882774,-0.025487,-2.8871,强势空头排列,-1.33
159869,2024-06-06,0.863339,0.887476,-0.024137,-2.7197,强势空头排列,-1.33
159869,2024-06-05,0.870492,0.892554,-0.022062,-2.4718,强势空头排列,-1.33
159869,2024-06-04,0.874945,0.896278,-0.021333,-2.3802,强势空头排列,-1.1
