代码,日期,WMA3,WMA5,WMA10,WMA20,WMA差值5-20,WMA差值5-20(%),WMA差值3-5,多空排列,排列评分
159766,20240904,0.604167,0.604933,0.603964,0.608348,-0.003415,-0.5614,-0.000766,震荡排列,0.0
159766,20240903,0.6055,0.604867,0.604109,0.609595,-0.004728,-0.7756,0.000633,震荡排列,0.0
159766,20240902,0.605,0.603667,0.604055,0.610905,-0.007238,-1.1848,0.001333,微弱空头排列,-0.05
159766,20240830,0.6065,0.604467,0.605309,0.612914,-0.008447,-1.3782,0.002033,微弱空头排列,-0.05
159766,20240829,0.599667,0.6008,0.604527,0.613919,-0.013119,-2.1369,-0.001133,中等空头排列,-0.6
159766,20240828,0.599667,0.601267,0.606364,0.616262,-0.014995,-2.4332,-0.0016,强势空头排列,-1.0
159766,20240827,0.6025,0.603867,0.609127,0.619114,-0.015247,-2.4627,-0.001367,强势空头排列,-1.0
159766,20240826,0.6055,0.6072,0.612145,0.621971,-0.014771,-2.3749,-0.0017,中等空头排列,-0.6
159766,20240823,0.6065,0.609333,0.614273,0.624229,-0.014896,-2.3863,-0.002833,中等空头排列,-0.6
159766,20240822,0.609,0.612467,0.617018,0.62659,-0.014123,-2.2539,-0.003467,中等空头排列,-0.6
159766,20240821,0.616333,0.618067,0.621182,0.629333,-0.011266,-1.7901,-0.001734,中等空头排列,-0.6
159766,20240820,0.618667,0.619933,0.6238,0.630957,-0.011024,-1.7472,-0.001266,中等空头排列,-0.6
159766,20240819,0.622667,0.622333,0.627218,0.632648,-0.010315,-1.6304,0.000334,中等空头排列,-0.6
159766,20240816,0.622,0.622333,0.629636,0.633671,-0.011338,-1.7893,-0.000333,中等空头排列,-0.6
159766,20240815,0.622667,0.624267,0.6328,0.635005,-0.010738,-1.691,-0.0016,中等空头排列,-0.6
159766,20240814,0.621667,0.6266,0.635545,0.636057,-0.009457,-1.4868,-0.004933,微弱空头排列,-0.05
159766,20240813,0.627167,0.633,0.639855,0.6378,-0.0048,-0.7526,-0.005833,震荡排列,0.0
159766,20240812,0.635333,0.640467,0.643382,0.639233,0.001234,0.193,-0.005134,震荡排列,0.0
159766,20240809,0.645333,0.648,0.646055,0.640333,0.007667,1.1973,-0.002667,温和多头排列,0.3
159766,20240808,0.652,0.651333,0.646145,0.64021,0.011123,1.7374,0.000667,中等多头排列,0.6
159766,20240807,0.652667,0.6504,0.643727,0.638986,0.011414,1.7863,0.002267,中等多头排列,0.6
159766,20240806,0.6525,0.649467,0.640945,0.6377,0.011767,1.8452,0.003033,中等多头排列,0.6
159766,20240805,0.645,0.642933,0.635982,0.63539,0.007543,1.1871,0.002067,微弱多头排列,0.05
159766,20240802,0.6425,0.6382,0.632927,0.633976,0.004224,0.6663,0.0043,震荡排列,0.0
159766,20240801,0.639333,0.634533,0.631036,0.633062,0.001471,0.2324,0.0048,震荡排列,0.0
159766,20240731,0.6325,0.6296,0.629218,0.632062,-0.002462,-0.3895,0.0029,震荡排列,0.0
159766,20240730,0.621333,0.622,0.626836,0.630781,-0.008781,-1.3921,-0.000667,中等空头排列,-0.6
159766,20240729,0.623167,0.623333,0.629327,0.631933,-0.0086,-1.3609,-0.000166,中等空头排列,-0.6
159766,20240726,0.625,0.6262,0.632127,0.633152,-0.006952,-1.098,-0.0012,微弱空头排列,-0.05
159766,20240725,0.623,0.6276,0.633745,0.6336,-0.006,-0.947,-0.0046,震荡排列,0.0
159766,20240724,0.626833,0.6322,0.636582,0.634533,-0.002333,-0.3677,-0.005367,震荡排列,0.0
159766,20240723,0.6365,0.6394,0.639909,0.63581,0.00359,0.5646,-0.0029,震荡排列,0.0
159766,20240722,0.6445,0.6442,0.641509,0.63621,0.00799,1.2559,0.0003,中等多头排列,0.6
159766,20240719,0.645667,0.643933,0.640073,0.635176,0.008757,1.3787,0.001734,中等多头排列,0.6
159766,20240718,0.644,0.642467,0.637745,0.63381,0.008657,1.3659,0.001533,中等多头排列,0.6
159766,20240717,0.640833,0.6406,0.635018,0.632395,0.008205,1.2974,0.000233,中等多头排列,0.6
159766,20240716,0.6385,0.6376,0.632691,0.631205,0.006395,1.0131,0.0009,温和多头排列,0.3
159766,20240715,0.6395,0.635667,0.631327,0.6307,0.004967,0.7875,0.003833,微弱多头排列,0.05
159766,20240712,0.637667,0.632667,0.630091,0.6304,0.002267,0.3596,0.005,震荡排列,0.0
159766,20240711,0.629667,0.6266,0.627455,0.629614,-0.003014,-0.4787,0.003067,微弱空头排列,-0.05
159766,20240710,0.619167,0.620467,0.625091,0.629195,-0.008728,-1.3872,-0.0013,中等空头排列,-0.6
159766,20240709,0.621833,0.623933,0.627182,0.631195,-0.007262,-1.1505,-0.0021,温和空头排列,-0.3
159766,20240708,0.621,0.625533,0.628018,0.632724,-0.007191,-1.1365,-0.004533,温和空头排列,-0.3
159766,20240705,0.629167,0.631,0.630418,0.63529,-0.00429,-0.6753,-0.001833,震荡排列,0.0
159766,20240704,0.6325,0.632733,0.630982,0.637005,-0.004272,-0.6706,-0.000233,震荡排列,0.0
